DateTime,PropMode,Distance
01/07/2014 15:56,Es,1015.3
01/07/2014 16:10,Es,720.5
01/07/2014 16:10,Es,844.4
01/07/2014 16:12,Es,1021.4
01/07/2014 17:49,Es,1253.2
01/07/2014 17:59,Es,1077.6
01/07/2014 18:00,Es,1107.4
01/07/2014 18:03,Es,1212.4
01/07/2014 18:08,Es,1109.5
01/07/2014 18:11,Es,1239.3
01/07/2014 18:12,Es,1308.3
02/07/2014 09:38,Es,685.6
02/07/2014 09:39,Es,984.6
02/07/2014 09:43,Es,447.4
02/07/2014 09:43,Es,855
02/07/2014 09:43,Es,956.6
02/07/2014 09:45,Es,985.1
02/07/2014 09:49,Es,691.5
02/07/2014 09:49,Es,1058.8
02/07/2014 09:53,Es,1160.8
02/07/2014 09:56,Es,1160.8
02/07/2014 09:59,Es,676.3
02/07/2014 09:59,Es,716.5
02/07/2014 09:59,Es,743.2
02/07/2014 10:01,Es,727.4
02/07/2014 10:02,Es,679.4
02/07/2014 10:06,Es,1013.4
02/07/2014 10:08,Es,1036.5
02/07/2014 10:11,Es,748.8
02/07/2014 10:16,Es,1075.8
02/07/2014 10:18,Es,878.3
02/07/2014 10:32,Es,1093.8
02/07/2014 10:38,Es,977.8
02/07/2014 10:41,Es,769.2
02/07/2014 10:42,Es,764.3
02/07/2014 19:10,Es,678.5
02/07/2014 19:10,Es,890.2
02/07/2014 19:11,Es,705.5
02/07/2014 19:13,Es,566.3
02/07/2014 19:13,Es,832.8
02/07/2014 19:14,Es,578.7
02/07/2014 19:15,Es,574.8
02/07/2014 19:16,Es,516.7
03/07/2014 06:55,Es,875.7
03/07/2014 06:57,Es,848.8
03/07/2014 07:01,Es,822.8
03/07/2014 07:02,Es,763.1
03/07/2014 07:06,Es,1122
03/07/2014 07:11,Es,931.1
03/07/2014 07:11,Es,973.8
03/07/2014 07:11,Es,975.8
03/07/2014 07:14,Es,743.2
03/07/2014 07:17,Es,1022.5
03/07/2014 07:20,Es,878.3
03/07/2014 07:35,Es,654.1
03/07/2014 07:44,Es,783
03/07/2014 07:45,Es,925.6
03/07/2014 08:28,Es,1196.2
03/07/2014 08:29,Es,1307.5
03/07/2014 08:51,Es,1089.9
03/07/2014 08:53,Es,1307.5
03/07/2014 09:21,Es,1016
03/07/2014 09:34,Es,1418.1
03/07/2014 10:17,Es,978.3
03/07/2014 10:18,Es,909
03/07/2014 11:03,Es,1152.3
03/07/2014 11:05,Es,1152.3
03/07/2014 11:09,Es,1152.3
03/07/2014 11:09,Es,1240.8
03/07/2014 11:13,Es,1296.8
03/07/2014 11:31,Es,713.4
03/07/2014 11:31,Es,1081.9
03/07/2014 11:31,Es,1292.4
03/07/2014 11:32,Es,776
03/07/2014 11:33,Es,1061.5
03/07/2014 11:33,Es,1096
03/07/2014 11:35,Es,1158.7
03/07/2014 11:42,Es,923.2
03/07/2014 11:43,Es,701.3
03/07/2014 11:43,Es,952.8
03/07/2014 11:44,Es,926.4
03/07/2014 11:45,Es,768.8
03/07/2014 11:45,Es,952.6
03/07/2014 11:45,Es,1108.7
03/07/2014 11:45,Es,1162.2
03/07/2014 11:46,Es,654.8
03/07/2014 11:47,Es,855.5
03/07/2014 11:47,Es,926.4
03/07/2014 11:55,Es,1166.2
03/07/2014 12:00,Es,952.6
03/07/2014 12:00,Es,952.8
03/07/2014 12:03,Es,1166.2
03/07/2014 12:07,Es,1035.2
03/07/2014 12:08,Es,1134.9
03/07/2014 12:12,Es,1035.2
03/07/2014 12:13,Es,967
03/07/2014 12:15,Es,818.3
03/07/2014 12:28,Es,742.1
03/07/2014 12:32,Es,818.3
03/07/2014 12:33,Es,1035.2
03/07/2014 12:36,Es,1035.2
03/07/2014 12:36,Es,1162.2
03/07/2014 12:40,Es,1036.5
03/07/2014 12:41,Es,1107.4
03/07/2014 12:42,Es,1036.5
03/07/2014 12:44,Es,725.1
03/07/2014 12:45,Es,1107.4
03/07/2014 12:46,Es,1096
03/07/2014 12:48,Es,1035.2
03/07/2014 12:49,Es,1036.5
03/07/2014 12:53,Es,1132.7
03/07/2014 12:53,Es,1153.4
03/07/2014 13:04,Es,776
03/07/2014 13:05,Es,1162.2
03/07/2014 13:08,Es,820.9
03/07/2014 13:09,Es,1288.3
03/07/2014 13:12,Es,1314.7
03/07/2014 13:14,Es,855.2
03/07/2014 13:16,Es,843.9
03/07/2014 13:18,Es,1176.4
03/07/2014 13:18,Es,1266.4
03/07/2014 13:32,Es,1112.1
03/07/2014 13:34,Es,893
03/07/2014 15:11,Es,870
03/07/2014 15:11,Es,1077.2
03/07/2014 15:14,Es,1085.1
03/07/2014 15:24,Es,909
03/07/2014 15:26,Es,1038.7
03/07/2014 15:27,Es,925.6
03/07/2014 15:27,Es,1022
03/07/2014 15:32,Es,1022
03/07/2014 15:33,Es,1038.7
03/07/2014 15:34,Es,1076.3
03/07/2014 15:35,Es,916.1
03/07/2014 15:35,Es,1024
03/07/2014 15:36,Es,1107.4
03/07/2014 15:38,Es,1064
03/07/2014 17:49,Es,1018.9
03/07/2014 18:29,Es,933.1
03/07/2014 18:29,Es,933.1
03/07/2014 18:32,Es,933.1
03/07/2014 19:35,Es,725.5
03/07/2014 19:36,Es,984
03/07/2014 19:37,Es,1015.3
03/07/2014 19:46,Es,967.2
03/07/2014 19:57,Es,974.8
03/07/2014 20:07,Es,845.9
03/07/2014 20:07,Es,1033.4
03/07/2014 20:08,Es,845.9
03/07/2014 20:09,Es,848.8
03/07/2014 20:10,Es,951.3
03/07/2014 20:27,Es,960.1
03/07/2014 20:29,Es,890
03/07/2014 20:56,Es,1093.8
07/07/2014 17:43,Es,1036.4
07/07/2014 18:41,MS,875.7
08/07/2014 06:30,Es,1020.3
08/07/2014 06:43,Es,1076.3
08/07/2014 06:48,Es,922.1
08/07/2014 06:49,Es,881.5
08/07/2014 06:50,Es,1107.4
08/07/2014 06:53,Es,881.5
08/07/2014 07:01,Es,992.3
08/07/2014 07:10,Es,812
08/07/2014 07:10,Es,1109.5
08/07/2014 07:11,Es,1029.4
08/07/2014 07:11,Es,1119.6
08/07/2014 07:12,Es,1085.1
08/07/2014 07:15,Es,1069.8
